#{"t_start": 1619967496.3454528, "env_id": null}
r,l,t
-4,1000,3610.947498
-2,1000,3614.287308
-2,1000,3618.680164
-1,1000,3622.114854
-2,1000,3626.472196
-3,1000,3629.935063
-3,1000,3634.437739
-1,1000,3637.768233
-1,1000,3642.201778
-4,1000,3645.613982
-3,1000,3650.084986
-2,1000,3653.411624
-2,1000,3657.809863
-1,1000,3661.447285
-2,1000,3665.824332
-2,1000,3669.214065
-3,1000,3673.583545
-3,1000,3676.965944
0,1000,3681.96664
-1,1000,3685.468131
-2,1000,3689.984898
0,1000,3693.611718
0,1000,3698.285939
0,1000,3701.718146
-4,1000,3706.423472
-1,1000,3709.875713
0,1000,3714.497258
-2,1000,3717.936363
-2,1000,3722.614311
-3,1000,3726.039402
-3,1000,3730.425499
-1,1000,3734.101085
-4,1000,3738.726903
-2,1000,3742.306715
0,1000,3746.794433
-5,1000,3750.455029
-2,1000,3755.167187
-2,1000,3758.822017
-2,1000,3762.416741
-1,1000,3767.020534
-1,1000,3770.438265
0,1000,3774.85406
-3,1000,3778.337913
0,1000,3783.217755
-1,1000,3786.639231
-3,1000,3791.038707
-2,1000,3794.554459
-3,1000,3798.942536
-1,1000,3802.511645
-2,1000,3806.897836
-2,1000,3810.567019
-3,1000,3815.032227
-5,1000,3818.464056
-4,1000,3822.970268
1,1000,3826.349476
-2,1000,3830.731336
-2,1000,3834.130407
-1,1000,3838.54015
-1,1000,3842.17523
-1,1000,3847.413134
-3,1000,3851.38206
-2,1000,3856.748815
-2,1000,3860.857522
0,1000,3866.144409
-2,1000,3870.250111
-1,1000,3875.562042
-3,1000,3879.54354
-2,1000,3884.061713
1,1000,3887.508005
-1,1000,3891.945014
-2,1000,3895.387754
-1,1000,3899.878489
-1,1000,3903.41892
-4,1000,3907.810385
0,1000,3911.213967
-3,1000,3915.720553
-2,1000,3919.112944
0,1000,3923.476676
-2,1000,3926.853648
-1,1000,3931.397776
-3,1000,3934.733414
-2,1000,3938.20105
-2,1000,3942.59005
-1,1000,3945.993844
0,1000,3950.367934
-2,1000,3953.752562
-1,1000,3958.189481
-1,1000,3961.758459
-1,1000,3966.13416
0,1000,3969.46043
-2,1000,3973.851332
-2,1000,3977.21839
-2,1000,3981.556221
0,1000,3985.373
-2,1000,3990.174406
-1,1000,3993.611145
-3,1000,3997.954423
-1,1000,4001.311084
-5,1000,4005.626558
-3,1000,4008.937297
-3,1000,4013.30683
-1,1000,4016.606637
-2,1000,4021.15806
-2,1000,4024.486963
0,1000,4028.851036
-3,1000,4032.141189
0,1000,4036.456933
0,1000,4039.821569
-1,1000,4044.214733
-2,1000,4047.518891
-1,1000,4052.141657
-2,1000,4055.59871
-3,1000,4060.190448
-1,1000,4063.623516
-4,1000,4068.009809
-3,1000,4071.357897
-3,1000,4075.935538
-3,1000,4079.334673
-2,1000,4083.930598
-3,1000,4087.241081
-1,1000,4091.680315
-2,1000,4095.002848
-2,1000,4099.363585
0,1000,4102.733536
-1,1000,4106.204761
-2,1000,4110.794025
0,1000,4114.350345
-2,1000,4118.694618
-1,1000,4122.047811
-3,1000,4126.428437
-3,1000,4129.834275
-1,1000,4134.261154
-3,1000,4137.608059
-1,1000,4142.21094
-1,1000,4145.518133
-4,1000,4149.852888
-2,1000,4153.189348
0,1000,4157.643791
-4,1000,4160.942355
-1,1000,4165.298949
-1,1000,4168.681485
-2,1000,4173.283222
-2,1000,4176.67343
-3,1000,4181.012639
-4,1000,4184.407058
-3,1000,4188.887723
0,1000,4192.227746
-4,1000,4196.564646
-2,1000,4200.051956
-5,1000,4204.517834
-3,1000,4207.814852
-2,1000,4212.209089
1,1000,4215.582225
-3,1000,4219.967935
-2,1000,4223.303824
-2,1000,4227.795392
-1,1000,4231.391535
-2,1000,4235.720483
-6,1000,4239.026294
-3,1000,4243.52702
-2,1000,4246.932089
-1,1000,4251.416541
0,1000,4254.715298
-2,1000,4259.031574
-3,1000,4262.615968
-3,1000,4265.936834
-3,1000,4270.243808
-1,1000,4273.734545
-3,1000,4278.044381
-1,1000,4281.551206
-2,1000,4286.034615
-1,1000,4289.811973
-2,1000,4294.776228
-5,1000,4298.060326
-1,1000,4302.817171
-2,1000,4306.267767
-4,1000,4310.604819
-2,1000,4313.945254
-3,1000,4318.357345
-3,1000,4321.937742
-1,1000,4326.481993
-2,1000,4329.774153
-2,1000,4334.085738
-2,1000,4337.559563
-1,1000,4341.988043
-1,1000,4345.28398
-2,1000,4349.755707
-3,1000,4353.228955
-1,1000,4357.613699
-4,1000,4360.91153
-2,1000,4365.228908
-3,1000,4368.576634
-3,1000,4372.973528
-1,1000,4376.32585
-3,1000,4380.824853
-1,1000,4384.211088
-1,1000,4388.564006
-2,1000,4391.908063
-1,1000,4396.325754
0,1000,4399.691114
-5,1000,4404.036894
-2,1000,4407.389162
-1,1000,4411.97859
-2,1000,4415.276564
-2,1000,4419.582727
-2,1000,4422.922291
-3,1000,4427.241842
-2,1000,4430.56298
-1,1000,4434.317492
-2,1000,4439.59112
-2,1000,4443.899912
0,1000,4449.407743
-2,1000,4453.335401
-3,1000,4458.052884
-4,1000,4462.078451
-1,1000,4466.797265
-3,1000,4470.655769
-4,1000,4475.311159
-3,1000,4478.951242
-2,1000,4483.374914
-1,1000,4486.878847
-1,1000,4491.478675
-2,1000,4495.052499
-2,1000,4500.021002
-2,1000,4503.9967
-2,1000,4509.503506
0,1000,4514.066245
-4,1000,4519.495852
-2,1000,4523.168948
-3,1000,4528.317225
-4,1000,4533.020133
-2,1000,4537.917079
-2,1000,4542.063088
-2,1000,4548.432275
-2,1000,4552.235541
-3,1000,4556.978943
-2,1000,4560.855076
-1,1000,4566.674427
-3,1000,4571.029981
-3,1000,4576.732688
-1,1000,4581.254077
-3,1000,4587.121157
-4,1000,4591.844517
-1,1000,4599.368282
-4,1000,4603.31852
-1,1000,4608.422951
-1,1000,4612.213793
-5,1000,4618.193893
-2,1000,4623.20104
-3,1000,4627.978733
-3,1000,4632.231334
-2,1000,4636.696817
-3,1000,4642.319683
-4,1000,4646.093593
-1,1000,4651.946226
-3,1000,4655.797148
-4,1000,4660.660417
-1,1000,4664.412801
-1,1000,4669.184252
-2,1000,4672.837628
-1,1000,4677.994608
-2,1000,4682.044839
-2,1000,4686.847018
-3,1000,4690.545579
-1,1000,4695.431356
0,1000,4699.376608
-1,1000,4704.163859
-2,1000,4707.847932
-3,1000,4712.893324
-2,1000,4716.625652
-3,1000,4721.412774
-3,1000,4725.145589
-3,1000,4729.921284
-2,1000,4733.861322
-4,1000,4738.812093
-1,1000,4743.318536
-1,1000,4748.094902
-2,1000,4751.807187
-2,1000,4757.858117
-1,1000,4762.869656
-1,1000,4769.322984
-3,1000,4773.460885
-2,1000,4778.196109
-1,1000,4782.073802
-1,1000,4787.674494
0,1000,4791.371427
-3,1000,4796.341085
0,1000,4801.326388
-4,1000,4806.852509
-3,1000,4811.353652
-2,1000,4816.890819
-2,1000,4821.480471
-5,1000,4826.525996
-4,1000,4831.370083
-4,1000,4836.023809
-2,1000,4842.14387
-3,1000,4846.048104
-2,1000,4850.845679
-1,1000,4854.618345
-1,1000,4859.415472
-2,1000,4863.320752
-3,1000,4869.449778
-4,1000,4873.377959
-2,1000,4879.366575
-3,1000,4883.622448
-5,1000,4889.712948
-1,1000,4894.5221
-1,1000,4901.19349
-1,1000,4905.826322
-2,1000,4912.058809
0,1000,4916.701957
-2,1000,4922.735009
-3,1000,4927.563015
-2,1000,4933.647633
-1,1000,4938.60557
-4,1000,4944.669887
-4,1000,4949.682194
0,1000,4956.31875
-3,1000,4961.521894
-4,1000,4968.096243
-1,1000,4971.750409
-2,1000,4976.781748
-2,1000,4981.37946
-2,1000,4986.299191
-4,1000,4990.661739
