#{"t_start": 1619905634.891071, "env_id": null}
r,l,t
-3,1000,3750.597985
-2,1000,3754.620366
-4,1000,3758.40046
-2,1000,3762.216367
-1,1000,3766.078482
-2,1000,3769.885499
-3,1000,3773.647417
-2,1000,3777.497533
-2,1000,3781.37553
-2,1000,3785.357052
-3,1000,3789.237653
-2,1000,3793.270335
-3,1000,3797.053475
-5,1000,3800.938282
-4,1000,3804.733619
-2,1000,3808.590191
-2,1000,3812.55934
-1,1000,3816.503
-4,1000,3820.70571
-2,1000,3824.689644
-2,1000,3828.715529
-2,1000,3832.515429
-3,1000,3836.535147
-1,1000,3840.444599
-2,1000,3844.539528
-1,1000,3848.333596
-4,1000,3852.274067
-2,1000,3856.175973
-3,1000,3859.963919
-3,1000,3863.957252
-4,1000,3867.801626
-2,1000,3871.751788
-1,1000,3875.800922
-3,1000,3879.63755
-3,1000,3883.477567
-3,1000,3887.288926
-4,1000,3891.203404
-3,1000,3895.000544
0,1000,3898.915689
-1,1000,3902.910826
0,1000,3906.904461
-2,1000,3910.764654
-2,1000,3914.614687
-3,1000,3918.525378
-2,1000,3922.309761
-2,1000,3926.110571
-2,1000,3929.91942
0,1000,3934.152272
-2,1000,3938.781462
-4,1000,3942.61771
-2,1000,3946.453473
0,1000,3950.330469
-4,1000,3954.138529
-1,1000,3958.073722
1,1000,3962.018602
-3,1000,3966.077521
-2,1000,3969.99666
-1,1000,3973.826437
-4,1000,3977.671721
-3,1000,3981.475179
-6,1000,3985.25867
-2,1000,3989.132646
-4,1000,3993.133977
-2,1000,3997.008607
-4,1000,4000.872157
-3,1000,4004.765496
-1,1000,4008.585579
-2,1000,4012.400697
-3,1000,4016.208514
-5,1000,4019.983534
-4,1000,4024.039485
-3,1000,4027.905853
-3,1000,4031.764472
-1,1000,4035.588392
-4,1000,4039.384026
-4,1000,4043.216304
-2,1000,4047.014523
-2,1000,4050.977801
-6,1000,4055.157032
0,1000,4060.725737
-1,1000,4065.231712
-3,1000,4069.943372
-3,1000,4074.456476
-4,1000,4078.884731
-3,1000,4083.715599
-2,1000,4088.210464
-1,1000,4092.784664
-3,1000,4097.194831
-2,1000,4101.562486
-1,1000,4105.387319
-2,1000,4109.404294
-3,1000,4113.465633
-3,1000,4117.610827
